"Code","ActiveIngredients","Size","Price"
"A6464","Dihydrocodeine tartrate 7.46<U+202F>mg","24",NA
"A6465","Paracetamol 500<U+202F>mg","32",NA
"A6466","Dihydrocodeine tartrate 10<U+202F>mg","30",NA
"A6467","Paracetamol 500<U+202F>mg","100",NA
"A6468","Dihydrocodeine tartrate 10<U+202F>mg","30",NA
"A6469","Paracetamol 500<U+202F>mg","100",NA
"A6470","Dihydrocodeine tartrate 10<U+202F>mg","100",NA
"A6471","Paracetamol 500<U+202F>mg","30",NA
"A6472","Dihydrocodeine tartrate 10<U+202F>mg","100",NA
"A6473","Paracetamol 500<U+202F>mg","500",NA
"A6474","Dihydrocodeine tartrate 10<U+202F>mg","100",NA
"A6475","Paracetamol 500<U+202F>mg","30",NA
"A6476","Dihydrocodeine tartrate 10<U+202F>mg","100",NA
"A6477","Paracetamol 500<U+202F>mg","500",NA
"A6478","Dihydrocodeine tartrate 10<U+202F>mg","30",NA
"A6479","Paracetamol 500<U+202F>mg","100",NA
"A6480","Dihydrocodeine tartrate 10<U+202F>mg","30",NA
"A6481","Paracetamol 500<U+202F>mg","100",NA
"A6482","Dihydrocodeine tartrate 10<U+202F>mg","500",NA
"A6483","Paracetamol 500<U+202F>mg","30",NA
"A6484","Dihydrocodeine tartrate 10<U+202F>mg","100",NA
"A6485","Paracetamol 500<U+202F>mg","30",NA
"A6486","Dihydrocodeine tartrate 10<U+202F>mg","100",NA
"A6487","Paracetamol 500<U+202F>mg","500",NA
"A6488","Dihydrocodeine tartrate 10<U+202F>mg","30",NA
"A6489","Paracetamol 500<U+202F>mg","100",NA
"A6490","Dihydrocodeine tartrate 20<U+202F>mg","30",NA
"A6491","Paracetamol 500<U+202F>mg","100",NA
"A6492","Dihydrocodeine tartrate 20<U+202F>mg","30",NA
"A6493","Paracetamol 500<U+202F>mg","100",NA
"A6494","Dihydrocodeine tartrate 20<U+202F>mg","56",NA
"A6495","Paracetamol 500<U+202F>mg","112",NA
"A6496","Dihydrocodeine tartrate 20<U+202F>mg","56",NA
"A6497","Paracetamol 500<U+202F>mg","112",NA
"A6498","Dihydrocodeine tartrate 20<U+202F>mg","56",NA
"A6499","Dihydrocodeine tartrate 30<U+202F>mg","112",NA
"A6500","Paracetamol 500<U+202F>mg","56",NA
"A6501","Dihydrocodeine tartrate 30<U+202F>mg","112",NA
"A6502","Paracetamol 500<U+202F>mg","56",NA
"A6503","Dihydrocodeine tartrate 30<U+202F>mg","112",NA
"A6504","Paracetamol 500<U+202F>mg","56",NA
"A6505","Dihydrocodeine tartrate 30<U+202F>mg","56",NA
"A6506","Paracetamol 500<U+202F>mg","56",NA
"A6507","Dihydrocodeine tartrate 30<U+202F>mg","56",NA
"A6508","Paracetamol 500<U+202F>mg","56",NA
"A6509","Dihydrotachysterol 250<U+202F>microgram per 1<U+202F>ml","15",NA
"A6510","Diltiazem hydrochloride 60<U+202F>mg","84",NA
"A6511","Diltiazem hydrochloride 60<U+202F>mg","100",NA
"A6512","Diltiazem hydrochloride 60<U+202F>mg","84",NA
"A6513","Diltiazem hydrochloride 60<U+202F>mg","100",NA
"A6514","Diltiazem hydrochloride 60<U+202F>mg","84",NA
"A6515","Diltiazem hydrochloride 60<U+202F>mg","100",NA
"A6516","Diltiazem hydrochloride 60<U+202F>mg","84",NA
"A6517","Diltiazem hydrochloride 60<U+202F>mg","84",NA
"A6518","Diltiazem hydrochloride 60<U+202F>mg","100",NA
"A6519","Diltiazem hydrochloride 90<U+202F>mg","84",NA
"A6520","Diltiazem hydrochloride 120<U+202F>mg","100",NA
"A6521","Diltiazem hydrochloride 90<U+202F>mg","84",NA
"A6522","Diltiazem hydrochloride 90<U+202F>mg","84",NA
"A6523","Diltiazem hydrochloride 90<U+202F>mg","90",NA
"A6524","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6525","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6526","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6527","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6528","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6529","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6530","Diltiazem hydrochloride 120<U+202F>mg","28",NA
"A6531","Diltiazem hydrochloride 120<U+202F>mg","56",NA
"A6532","Diltiazem hydrochloride 180<U+202F>mg","56",NA
"A6533","Diltiazem hydrochloride 180<U+202F>mg","28",NA
"A6534","Diltiazem hydrochloride 180<U+202F>mg","28",NA
"A6535","Diltiazem hydrochloride 180<U+202F>mg","28",NA
"A6536","Diltiazem hydrochloride 180<U+202F>mg","28",NA
"A6537","Diltiazem hydrochloride 180<U+202F>mg","56",NA
"A6538","Diltiazem hydrochloride 180<U+202F>mg","28",NA
"A6539","Diltiazem hydrochloride 180<U+202F>mg","56",NA
"A6540","Diltiazem hydrochloride 200<U+202F>mg","28",NA
"A6541","Diltiazem hydrochloride 200<U+202F>mg","28",NA
"A6542","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6543","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6544","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6545","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6546","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6547","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6548","Diltiazem hydrochloride 240<U+202F>mg","28",NA
"A6549","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6550","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6551","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6552","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6553","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6554","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6555","Diltiazem hydrochloride 300<U+202F>mg","28",NA
"A6556","Diltiazem hydrochloride 360<U+202F>mg","28",NA
"A6557","Diltiazem hydrochloride 60<U+202F>mg","28",NA
"A6558","Diltiazem hydrochloride 60<U+202F>mg","28",NA
"A6559","Diltiazem hydrochloride 60<U+202F>mg","28",NA
"A6560","Diltiazem hydrochloride 60<U+202F>mg","28",NA
"A6561","Diltiazem hydrochloride 60<U+202F>mg","28",NA
"A6562","Dimethyl fumarate 30<U+202F>mg","42",NA
"A6563","Dimethyl fumarate 120<U+202F>mg","90",NA
"A6564","Dimethyl fumarate 120<U+202F>mg","180",NA
"A6565","Dimethyl fumarate 240<U+202F>mg","14",NA
"A6566","Dimethyl fumarate 30<U+202F>mg","56",NA
"A6567","Dimeticone 40<U+202F>mg per 1<U+202F>gram","50",NA
"A6568","Dimeticone 40<U+202F>mg per 1<U+202F>gram","150",NA
"A6569","Dimeticone 40<U+202F>mg per 1<U+202F>gram","100",NA
"A6570","Dimeticone 40<U+202F>mg per 1<U+202F>gram","120",NA
"A6571","Dinoprostone 3<U+202F>mg","8",NA
"A6572","Dinoprostone 10<U+202F>mg","5",NA
"A6573","Dinoprostone 400<U+202F>microgram per 1<U+202F>ml","2.5",NA
"A6574","Dinoprostone 800<U+202F>microgram per 1<U+202F>ml","2.5",NA
"A6575","Dinutuximab beta 4.5<U+202F>mg per 1<U+202F>ml","1",NA
"A6576","Diphtheria antitoxin 1000<U+202F>unit per 1<U+202F>ml","1",NA
"A6577","Cyclizine hydrochloride 30<U+202F>mg","50",NA
"A6578","Dipipanone hydrochloride 10<U+202F>mg","50",NA
"A6579","Cyclizine hydrochloride 30<U+202F>mg","50",NA
"A6580","Dipipanone hydrochloride 10<U+202F>mg","50",NA
"A6581","Cyclizine hydrochloride 30<U+202F>mg","50",NA
"A6582","Dipipanone hydrochloride 10<U+202F>mg","50",NA
"A6583","Dipyridamole 25<U+202F>mg","84",NA
"A6584","Dipyridamole 25<U+202F>mg","84",NA
"A6585","Dipyridamole 25<U+202F>mg","84",NA
"A6586","Dipyridamole 25<U+202F>mg","84",NA
"A6587","Dipyridamole 25<U+202F>mg","84",NA
"A6588","Dipyridamole 25<U+202F>mg","84",NA
"A6589","Dipyridamole 25<U+202F>mg","84",NA
"A6590","Dipyridamole 100<U+202F>mg","84",NA
"A6591","Dipyridamole 100<U+202F>mg","84",NA
"A6592","Dipyridamole 100<U+202F>mg","84",NA
"A6593","Dipyridamole 100<U+202F>mg","84",NA
"A6594","Dipyridamole 100<U+202F>mg","84",NA
"A6595","Dipyridamole 100<U+202F>mg","84",NA
"A6596","Dipyridamole 100<U+202F>mg","84",NA
"A6597","Dipyridamole 100<U+202F>mg","84",NA
"A6598","Dipyridamole 200<U+202F>mg","60",NA
"A6599","Dipyridamole 200<U+202F>mg","60",NA
"A6600","Dipyridamole 10<U+202F>mg per 1<U+202F>ml","150",NA
"A6601","Dipyridamole 10<U+202F>mg per 1<U+202F>ml","150",NA
"A6602","Dipyridamole 10<U+202F>mg per 1<U+202F>ml","150",NA
"A6603","Dipyridamole 10<U+202F>mg per 1<U+202F>ml","150",NA
"A6604","Dipyridamole 10<U+202F>mg per 1<U+202F>ml","150",NA
"A6605","Dipyridamole 10<U+202F>mg per 1<U+202F>ml","150",NA
"A6606","Dipyridamole 40<U+202F>mg per 1<U+202F>ml","150",NA
"A6607","Dipyridamole 40<U+202F>mg per 1<U+202F>ml","150",NA
"A6608","Dipyridamole 200<U+202F>mg","60",NA
"A6609","Aspirin 25<U+202F>mg","60",NA
"A6610","Disodium hydrogen citrate 530<U+202F>mg","6",NA
"A6611","Glucose 3.56<U+202F>gram","20",NA
"A6612","Potassium chloride 300<U+202F>mg","6",NA
"A6613","Sodium chloride 470<U+202F>mg","20",NA
"A6614","Disodium hydrogen citrate 530<U+202F>mg","6",NA
"A6615","Glucose 3.56<U+202F>gram","20",NA
"A6616","Potassium chloride 300<U+202F>mg","6",NA
"A6617","Sodium chloride 470<U+202F>mg","20",NA
"A6618","Disodium hydrogen citrate 530<U+202F>mg","6",NA
"A6619","Glucose 3.56<U+202F>gram","20",NA
"A6620","Potassium chloride 300<U+202F>mg","6",NA
"A6621","Sodium chloride 470<U+202F>mg","20",NA
"A6622","Disopyramide (as Disopyramide phosphate) 250<U+202F>mg","60",NA
"A6623","Disopyramide 100<U+202F>mg","84",NA
"A6624","Disopyramide 100<U+202F>mg","84",NA
"A6625","Disopyramide 100<U+202F>mg","84",NA
"A6626","Disopyramide 100<U+202F>mg","84",NA
"A6627","Disopyramide 100<U+202F>mg","84",NA
"A6628","Disopyramide 100<U+202F>mg","84",NA
"A6629","Disopyramide 150<U+202F>mg","84",NA
"A6630","Disopyramide 150<U+202F>mg","84",NA
"A6631","Disopyramide 150<U+202F>mg","84",NA
"A6632","Disopyramide 150<U+202F>mg","84",NA
"A6633","Disopyramide 150<U+202F>mg","84",NA
"A6634","Disulfiram 200<U+202F>mg","50",NA
"A6635","Disulfiram 200<U+202F>mg","50",NA
"A6636","Disulfiram 200<U+202F>mg","50",NA
"A6637","Disulfiram 200<U+202F>mg","50",NA
"A6638","Disulfiram 250<U+202F>mg","100",NA
"A6639","Disulfiram 500<U+202F>mg","20",NA
"A6640","Dithranol 1<U+202F>mg per 1<U+202F>gram","50",NA
"A6641","Dithranol 2.5<U+202F>mg per 1<U+202F>gram","50",NA
"A6642","Dithranol 5<U+202F>mg per 1<U+202F>gram","50",NA
"A6643","Dithranol 10<U+202F>mg per 1<U+202F>gram","50",NA
"A6644","Dithranol 20<U+202F>mg per 1<U+202F>gram","50",NA
"A6645","Dobutamine (as Dobutamine hydrochloride) 5<U+202F>mg per 1<U+202F>ml","1",NA
"A6646","Dobutamine (as Dobutamine hydrochloride) 12.5<U+202F>mg per 1<U+202F>ml","5",NA
"A6647","Dobutamine (as Dobutamine hydrochloride) 12.5<U+202F>mg per 1<U+202F>ml","10",NA
"A6648","Dobutamine (as Dobutamine hydrochloride) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6649","Docetaxel 10<U+202F>mg per 1<U+202F>ml","1",NA
"A6650","Docetaxel 10<U+202F>mg per 1<U+202F>ml","1",NA
"A6651","Docetaxel 10<U+202F>mg per 1<U+202F>ml","1",NA
"A6652","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6653","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6654","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6655","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6656","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6657","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6658","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6659","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6660","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6661","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6662","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6663","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6664","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6665","Docetaxel 20<U+202F>mg per 1<U+202F>ml","1",NA
"A6666","Docusate sodium 100<U+202F>mg","30",NA
"A6667","Docusate sodium 100<U+202F>mg","100",NA
"A6668","Docusate sodium 2.5<U+202F>mg per 1<U+202F>ml","30",NA
"A6669","Docusate sodium 2.5<U+202F>mg per 1<U+202F>ml","300",NA
"A6670","Docusate sodium 2.5<U+202F>mg per 1<U+202F>ml","300",NA
"A6671","Docusate sodium 2.5<U+202F>mg per 1<U+202F>ml","300",NA
"A6672","Docusate sodium 2.5<U+202F>mg per 1<U+202F>ml","300",NA
"A6673","Docusate sodium 10<U+202F>mg per 1<U+202F>ml","125",NA
"A6674","Docusate sodium 10<U+202F>mg per 1<U+202F>ml","300",NA
"A6675","Docusate sodium 10<U+202F>mg per 1<U+202F>ml","300",NA
"A6676","Docusate sodium 10<U+202F>mg per 1<U+202F>ml","300",NA
"A6677","Docusate sodium 5<U+202F>mg per 1<U+202F>ml","300",NA
"A6678","Docusate sodium 50<U+202F>mg per 1<U+202F>ml","10",NA
"A6679","Docusate sodium 12<U+202F>mg per 1<U+202F>gram","15",NA
"A6680","Docusate sodium 100<U+202F>mg","6",NA
"A6681","Dolutegravir (as Dolutegravir sodium) 10<U+202F>mg","30",NA
"A6682","Dolutegravir (as Dolutegravir sodium) 25<U+202F>mg","30",NA
"A6683","Dolutegravir (as Dolutegravir sodium) 50<U+202F>mg","30",NA
"A6684","Dolutegravir (as Dolutegravir sodium) 50<U+202F>mg","30",NA
"A6685","Rilpivirine (as Rilpivirine hydrochloride) 25<U+202F>mg","30",NA
"A6686","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6687","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6688","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6689","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6690","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6691","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6692","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6693","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6694","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6695","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6696","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6697","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6698","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6699","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6700","Domperidone 1<U+202F>mg per 1<U+202F>ml","100",NA
"A6701","Domperidone 1<U+202F>mg per 1<U+202F>ml","30",NA
"A6702","Domperidone 1<U+202F>mg per 1<U+202F>ml","100",NA
"A6703","Domperidone 1<U+202F>mg per 1<U+202F>ml","30",NA
"A6704","Domperidone 1<U+202F>mg per 1<U+202F>ml","100",NA
"A6705","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6706","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6707","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6708","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6709","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6710","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6711","Domperidone (as Domperidone maleate) 10<U+202F>mg","30",NA
"A6712","Domperidone (as Domperidone maleate) 10<U+202F>mg","100",NA
"A6713","Domperidone (as Domperidone maleate) 10<U+202F>mg","200",NA
"A6714","Domperidone (as Domperidone maleate) 10<U+202F>mg","200",NA
"A6715","Domperidone (as Domperidone maleate) 10<U+202F>mg","200",NA
"A6716","Domperidone (as Domperidone maleate) 10<U+202F>mg","200",NA
"A6717","Domperidone (as Domperidone maleate) 10<U+202F>mg","200",NA
"A6718","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6719","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6720","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6721","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6722","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6723","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6724","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6725","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6726","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6727","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6728","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6729","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6730","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6731","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6732","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6733","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6734","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6735","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6736","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6737","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6738","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6739","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6740","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6741","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6742","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6743","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6744","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6745","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6746","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6747","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6748","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6749","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6750","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6751","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6752","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6753","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6754","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6755","Donepezil hydrochloride 5<U+202F>mg","28",NA
"A6756","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6757","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6758","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6759","Donepezil hydrochloride 10<U+202F>mg","28",NA
"A6760","Donepezil hydrochloride 1<U+202F>mg per 1<U+202F>ml","150",NA
"A6761","Donepezil hydrochloride 1<U+202F>mg per 1<U+202F>ml","150",NA
"A6762","Donepezil hydrochloride 1<U+202F>mg per 1<U+202F>ml","150",NA
"A6763","Donepezil hydrochloride 1<U+202F>mg per 1<U+202F>ml","150",NA
"A6764","Donepezil hydrochloride 1<U+202F>mg per 1<U+202F>ml","150",NA
"A6765","Dopamine hydrochloride 40<U+202F>mg per 1<U+202F>ml","10",NA
"A6766","Dopamine hydrochloride 40<U+202F>mg per 1<U+202F>ml","10",NA
"A6767","Dopamine hydrochloride 40<U+202F>mg per 1<U+202F>ml","5",NA
"A6768","Dopamine hydrochloride 40<U+202F>mg per 1<U+202F>ml","10",NA
"A6769","Dopamine hydrochloride 40<U+202F>mg per 1<U+202F>ml","5",NA
"A6770","Dopamine hydrochloride 160<U+202F>mg per 1<U+202F>ml","10",NA
"A6771","Doravirine 100<U+202F>mg","30",NA
"A6772","Dornase alfa 1<U+202F>mg per 1<U+202F>ml","30",NA
"A6773","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6774","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6775","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6776","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6777","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6778","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6779","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6780","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6781","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6782","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6783","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6784","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6785","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","60",NA
"A6786","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6787","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","60",NA
"A6788","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","10",NA
"A6789","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6790","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6791","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6792","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6793","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6794","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6795","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6796","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6797","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6798","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6799","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6800","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","60",NA
"A6801","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","60",NA
"A6802","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","60",NA
"A6803","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6804","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6805","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","60",NA
"A6806","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","10",NA
"A6807","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6808","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6809","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6810","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6811","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6812","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6813","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6814","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6815","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6816","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","5",NA
"A6817","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6818","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","60",NA
"A6819","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","60",NA
"A6820","Timolol (as Timolol maleate) 5<U+202F>mg per 1<U+202F>ml","60",NA
"A6821","Dorzolamide (as Dorzolamide hydrochloride) 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6822","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6823","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6824","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6825","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6826","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6827","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6828","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6829","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6830","Dosulepin hydrochloride 75<U+202F>mg","28",NA
"A6831","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6832","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6833","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6834","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6835","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6836","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6837","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6838","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6839","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6840","Dosulepin hydrochloride 25<U+202F>mg","28",NA
"A6841","Doxapram hydrochloride 20<U+202F>mg per 1<U+202F>ml","5",NA
"A6842","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6843","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6844","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6845","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6846","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6847","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6848","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
"A6849","Doxazosin (as Doxazosin mesilate) 1<U+202F>mg","28",NA
